index,name,hof,Age,Tm,MVP,AS,GG,ROY,Awards,Pos,Year,Lg,G,PA,AB,R,H,doubles,triples,HR,RBI,SB,CS,BB,SO,TB,HBP,SF,IBB,BA,OBP,SLG,OPS,OPS_plus,AVG,singles
128580,Sal Yvars,no,30,"NYG, NYG, NYG, NYG, NYG, NYG, TOT, NYG, STL, STL",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","/2, 2, /2H, /2, 2/H, 2/H, 2H, 2/H, 2/H, 2H",1947-1954,"NL, NL, NL, NL, NL, NL, NL, NL, NL, NL",263,584,522,46,129,14,0,11,49,1,2,48,48,176,7,0,7,0.2145,0.3188908145580589,0.3371647509578544,0.6560555655159133,51.4,0.2471264367816092,104
89285,Salty Parker,no,23,DET,0,0,0,0,,/63H,1936-1936,AL,11,28,25,6,7,2,0,0,4,0,2,2,3,9,0,0,0,0.28,0.3333333333333333,0.36,0.6933333333333334,71,0.28,5
88097,Salvador Perez,active,31,"KCR, KCR, KCR, KCR, KCR, KCR, KCR, KCR, KCR, KCR",0,7,5,0,"nan, nan, AS,MVP-22,GG, AS,GG, AS,GG, AS,GG,SS, AS, AS,GG,SS, MVP-17,SS, AS","2, 2/DH, *2/H3, *2/DH, *2/D3H, *2/DH3, *2D/H, 2D/3H, 2/3D, *2D",2011-2021,"AL, AL, AL, AL, AL, AL, AL, AL, AL, AL",1068,4256,4036,444,1088,205,10,173,588,5,1,142,733,1832,45,32,19,0.2802,0.299647474,0.45391476709613476,0.7535622406566518,109,0.26957383548067393,700
1340,Sam Agnew,no,32,"SLB, SLB, SLB, BOS, BOS, BOS, WSH",0,0,0,0,"nan, MVP-23, nan, nan, nan, nan, nan","*2/H, *2, 2/H, 2/H, 2, 2, 2/H",1913-1919,"AL, AL, AL, AL, AL, AL, AL",563,1721,1537,105,314,41,14,2,98,29,10,102,216,389,25,0,0,0.2058571428571428,0.26502403846153844,0.2530904359141184,0.5181144743756568,57.57142857142857,0.20429407937540664,257
4575,Sam Bankhead,no,34,TOT,0,0,0,0,,6/452,1945-1945,MLB,33,136,124,14,40,6,1,0,19,2,0,11,0,48,0,0,0,0.3229999999999999,0.37777777777777777,0.3870967741935484,0.7648745519713261,114,0.3225806451612903,33
7198,Sam Barkley,no,29,PIT,0,0,0,0,,34,1887-1887,NL,89,374,340,44,76,10,4,1,35,6,0,30,24,97,4,0,0,0.224,0.29411764705882354,0.2852941176470588,0.5794117647058823,66,0.2235294117647059,61
7381,Sam Barnes,no,21,DET,0,0,0,0,,/H4,1921-1921,AL,7,14,11,2,2,1,0,0,0,0,0,2,1,3,1,0,0,0.182,0.35714285714285715,0.2727272727272727,0.6298701298701299,63,0.18181818181818182,1
11607,Sam Bohne,no,29,"STL, CIN, CIN, CIN, CIN, CIN, TOT, CIN, BRO",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan","6/H, 45, 46/H, 45/63, 465/H, 6H4/9357, 465/H, 6/H, 45/H",1916-1926,"NL, NL, NL, NL, NL, NL, NL, NL, NL",735,2798,2494,321,641,90,49,17,244,77,59,209,171,880,9,0,0,0.2405555555555555,0.316740413,0.3528468323977546,0.6695872453771057,68.44444444444444,0.2570168404170008,485
12506,Sam Bowen,no,27,"BOS, BOS, BOS",0,0,0,0,"nan, nan, nan","/78, /8H7, /8H79",1977-1980,"AL, AL, AL",16,25,22,3,3,0,0,1,1,1,0,3,7,6,0,0,0,0.099,0.24,0.2727272727272727,0.5127272727272727,10.333333333333334,0.13636363636363635,2
12522,Sam Bowens,no,31,"BAL, BAL, BAL, BAL, BAL, WSA, WSA",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan","9/H, *97/H, 9H7, 97H/8, H79, H97/8, 9H/78",1963-1969,"AL, AL, AL, AL, AL, AL, AL",479,1419,1287,141,287,48,6,45,143,25,13,100,293,482,10,7,4,0.2194285714285714,0.2827635327635328,0.3745143745143745,0.6572779072779074,81.57142857142857,0.222999223,188
13398,Sam Brenegan,no,23,PIT,0,0,0,0,,/2,1914-1914,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
14712,Sam Brown,no,30,"BSN, BSN",0,0,0,0,"nan, nan","25/78H349, 2/H3",1906-1907,"NL, NL",141,490,439,29,88,12,1,0,34,4,0,25,43,102,8,0,0,0.2,0.2563559322033898,0.23234624145785876,0.4887021736612486,54,0.20045558086560364,75
18483,Sam Calderone,no,28,"NYG, NYG, MLN",0,0,0,0,"nan, nan, nan","2/H, 2/H, 2/H",1950-1954,"NL, NL, NL",91,150,141,16,41,5,0,1,25,0,0,7,13,49,0,1,2,0.3,0.3221476510067114,0.3475177304964539,0.6696653815031652,82.33333333333333,0.2907801418439716,35
21084,Sam Chapman,no,35,"PHA, PHA, PHA, PHA, PHA, PHA, PHA, PHA, PHA, PHA, TOT, PHA, CLE",0,1,0,0,"nan, nan, nan, MVP-12, nan, AS, nan, nan, nan, nan, nan, nan, nan","*7/8H, *83/H, *8/H, *8/H, /8H, *78/H, *87/H, *8/H, *8, *8/H, 87H/93, 8/H, 87H/93",1938-1951,"AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL",1480,5952,5299,785,1396,220,53,186,814,44,38,601,726,2280,15,0,25,0.249076923,0.3401521555367709,0.43026986223815816,0.770422018,93.61538462,0.2634459331949424,937
24929,Sam Covington,no,23,"SLB, BSN, BSN",0,0,0,0,"nan, nan, nan","3/H, 3, /H",1913-1918,"AL, NL, NL",40,144,129,11,23,2,1,1,14,4,0,9,11,30,1,0,0,0.2266666666666666,0.23741007194244604,0.23255813953488372,0.46996821147732976,64,0.17829457364341086,19
25295,Sam Crane,no,36,"BUF, DTN, TOT, DTN, SLM, WHS, TOT, NYG, PIT, NYG, PHA, PHA, PHA, WSH, CIN, CIN, BRO",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","4/O, 4, 4/6O, 4/6O, 4, /6, 4/6O3, /43O, 4/6O, nan, /6, /64H, /6, 6, 6H5/49, 6/H59, /6",1880-1922,"NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, AL, AL, AL, AL, NL, NL, NL",483,1704,1591,158,287,40,15,3,97,52,9,86,241,366,9,0,0,0.1568235294117647,0.2265717674970344,0.23004399748585794,0.45661576498289236,23.647058823529413,0.180389692,229
17982,Sam Crawford,no,37,"CIN, CIN, CIN, CIN, DET, DET, DET, DET, DET, DET, DET, DET, DET, DET, DET, DET, DET, DET, DET",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, MVP-14, MVP-14, MVP-14, MVP-2, nan, nan, nan","O, *O, *9/7, *9/7, *97, *9/7, *93, *93/8H, *8/3, *83/9H, *83, *98/3, *9, *9/78H, *93, *9, *9, 9H/3, H3/9",1899-1917,"NL, NL, NL, NL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL",2517,10625,9570,1391,2961,458,309,97,1523,367,43,760,580,4328,23,0,0,0.3021052631578947,0.3616343088959722,0.4522466039707419,0.8138809128667142,137.42105263157896,0.3094043887147335,2097
29978,Sam Dente,no,33,"BOS, SLB, WSH, WSH, WSH, CHW, CHW, CLE, CLE",0,0,0,0,"nan, nan, nan, MVP-30, nan, nan, nan, nan, nan","5, 6H/5, *6, *64, 6H4/5, 65H/4739, /H6, 6/4H, 65H/4",1947-1955,"AL, AL, AL, AL, AL, AL, AL, AL, AL",745,2535,2320,205,585,78,16,4,214,9,9,167,96,707,4,3,10,0.2495,0.30312750601443467,0.30474137931034484,0.6078688853247796,62.375,0.2521551724137931,487
32605,Sam Dungan,no,34,"CHC, CHC, TOT, CHC, LOU, CHC, WSH",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan","*O, *O, O, O, /O, /O, *93/7",1892-1901,"NL, NL, NL, NL, NL, NL, AL",400,1774,1614,225,484,74,26,3,203,41,0,127,39,619,17,0,0,0.2892857142857142,0.3572241183162685,0.38351920693928127,0.7407433252555498,87.57142857142857,0.29987608426270135,381
35164,Sam Ewing,no,29,"CHW, CHW, TOR, TOR",0,0,0,0,"nan, nan, nan, nan","/H3, D/H3, 9HD7/3, H/D9",1973-1978,"AL, AL, AL, AL",167,393,361,31,92,11,3,6,47,1,1,28,65,127,0,1,6,0.209,0.3076923076923077,0.3518005540166205,0.6594928617089282,58.25,0.2548476454293629,72
36731,Sam Field,no,27,CIN,0,0,0,0,,/24,1876-1876,NL,4,15,14,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.066666667,0,0.066666667,-74,0,0
36885,Sam File,no,18,PHI,0,0,0,0,,/65H,1940-1940,NL,7,13,13,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0.077,0.076923077,0.076923077,0.15384615384615385,-57,0.076923077,1
37052,Sam Fishburn,no,26,STL,0,0,0,0,,/H34,1919-1919,NL,9,6,6,0,2,1,0,0,2,0,0,0,0,3,0,0,0,0.3329999999999999,0.3333333333333333,0.5,0.8333333333333333,154,0.3333333333333333,1
39194,Sam Fuld,no,33,"CHC, CHC, CHC, TBR, TBR, TBR, TOT, OAK, MIN, OAK, OAK",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","/H987, 78H/9, /78H, 7H/98D, 97H/D8, 789H/D1, 879H, 789H, 87/9H, H, 78H9/D",2007-2015,"NL, NL, NL, AL, AL, AL, AL, AL, AL, AL, AL",711,1937,1705,217,392,76,22,16,148,88,24,196,290,560,6,8,6,0.205090909,0.31018276762402086,0.3284457478005865,0.6386285154246074,69.45454545454545,0.22991202346041056,278
42000,Sam Gentile,no,26,BSN,0,0,0,0,,/H,1943-1943,NL,8,5,4,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0.25,0.4,0.5,0.9,161,0.25,0
42840,Sam Gillen,no,29,"PIT, PHI",0,0,0,0,"nan, nan","/6, 6/5",1893-1897,"NL, NL",78,325,276,32,70,10,3,0,27,2,0,35,24,86,4,0,0,0.1295,0.346031746,0.3115942028985507,0.6576259489302967,-10,0.2536231884057971,57
48086,Sam Haggerty,active,27,"NYM, SEA, SEA",0,0,0,0,"nan, nan, nan","H/49, 7/5D9, 7/H948D",2019-2021,"NL, AL, AL",59,152,140,24,29,7,0,3,11,9,1,10,47,45,1,0,0,0.1486666666666666,0.26490066225165565,0.32142857142857145,0.586329234,18,0.20714285714285716,19
48231,Sam Hairston,no,31,CHW,0,0,0,0,,/H2,1951-1951,AL,4,7,5,1,2,1,0,0,1,0,0,2,0,3,0,0,0,0.4,0.5714285714285714,0.6,1.1714285714285713,220,0.4,1
49834,Sam Harshaney,no,30,"SLB, SLB, SLB, SLB",0,0,0,0,"nan, nan, nan, nan","/2H, 2/H, 2/H, /2H",1937-1940,"AL, AL, AL, AL",61,202,181,17,43,3,0,0,15,0,1,16,10,46,1,0,0,0.1559999999999999,0.30303030303030304,0.2541436464088398,0.5571739494391428,42.25,0.23756906077348067,40
52939,Sam Hilliard,active,27,"COL, COL, COL",0,0,0,0,"nan, nan, nan","8/H97, 798/HD, H/89",2019-2021,"NL, NL, NL",83,240,219,32,47,6,5,15,27,5,0,20,84,108,1,0,1,0.1969999999999999,0.2833333333333333,0.4931506849315068,0.7764840182648401,79.66666666666667,0.2146118721461187,21
54158,Sam Horn,no,31,"BOS, BOS, BOS, BAL, BAL, BAL, CLE, TEX",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan","D/H, D/H, HD/3, D3H, DH, DH, D/H, H/D",1987-1995,"AL, AL, AL, AL, AL, AL, AL, AL",389,1185,1040,132,250,49,1,62,179,0,1,132,323,487,7,6,11,0.232,0.32827004219409284,0.46826923076923077,0.7965392729633236,100.125,0.2403846153846154,138
55116,Sam Huff,no,22,TEX,0,0,0,0,,2,2020-2020,AL,10,33,31,5,11,3,0,3,4,0,0,2,11,23,0,0,0,0.355,0.3939393939393939,0.7419354838709677,1.1358748778103616,200,0.3548387096774194,5
56548,Sam Jethroe,no,37,"BSN, BSN, BSN, PIT",0,0,0,1,"MVP-27,RoY-1, nan, nan, nan","*8, *87/H9, *8/H, /H9",1950-1954,"NL, NL, NL, NL",442,1976,1763,280,460,80,25,49,181,98,23,177,293,737,25,0,9,0.1962499999999999,0.33689567430025447,0.41803743618831535,0.7549331104885698,55.75,0.260918888,306
61958,Sam Khalifa,no,23,"PIT, PIT, PIT",0,0,0,0,"nan, nan, nan","6, 6/4H, /6",1985-1987,"NL, NL, NL",164,558,488,39,107,20,3,2,37,5,4,53,86,139,0,4,14,0.1996666666666666,0.29357798165137616,0.2848360655737705,0.5784140472251467,36.66666666666666,0.2192622950819672,82
65968,Sam LaRocque,no,28,"DTN, PIT, TOT, PIT",0,0,0,0,"nan, nan, nan, nan","/4, 46/3O, 4/35, /5",1888-1891,"NL, NL, MLB, NL",125,541,486,66,120,22,5,2,50,28,0,41,40,158,14,0,0,0.242,0.3234750462107209,0.32510288065843623,0.6485779268691572,86,0.24691358024691357,91
65713,Sam Langford,no,28,"BOS, CLE, CLE",0,0,0,0,"nan, nan, nan","/H, 8/7, *87/H",1926-1928,"AL, AL, AL",131,540,495,61,136,22,8,5,57,3,9,26,42,189,4,0,1,0.1816666666666666,0.3161904761904762,0.38181818181818183,0.698008658,23.666666666666668,0.27474747474747474,101
67244,Sam Leslie,no,32,"NYG, NYG, NYG, NYG, TOT, NYG, BRO, BRO, BRO, NYG, NYG, NYG",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","/7H, /H, H/3, H/3, *3/H, 3/H, 3/H, *3/H, *3/H, 3H, 3H, H3",1929-1938,"NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL",958,3259,2961,373,897,146,35,44,462,15,11,251,141,1245,31,0,30,0.2911666666666666,0.3635522664199815,0.4204660587639311,0.7840183251839126,99.58333333333331,0.3029381965552178,672
75370,Sam Mayer,no,22,WSH,0,0,0,0,,/9371,1915-1915,AL,11,37,29,5,7,0,0,1,4,1,2,4,2,10,0,0,0,0.241,0.3333333333333333,0.3448275862068966,0.6781609195402298,101,0.2413793103448276,6
75968,Sam McConnell,no,20,PHA,0,0,0,0,,/5H,1915-1915,AL,6,13,11,1,2,1,0,0,0,0,0,1,3,3,0,0,0,0.182,0.25,0.2727272727272727,0.5227272727272727,59,0.18181818181818182,1
77751,Sam Mejias,no,29,"STL, MON, MON, TOT, CHC, CIN, CIN, CIN",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan","9/H78, H98/7, H97/81, H78/9, H7/89, /8H, 89/H7, 98H",1976-1981,"NL, NL, NL, NL, NL, NL, NL, NL",372,391,361,56,89,13,2,4,31,8,2,18,56,118,1,2,3,0.26,0.28272251308900526,0.3268698060941828,0.609592319,69.375,0.24653739612188366,70
77798,Sam Mele,no,34,"BOS, BOS, TOT, BOS, WSH, WSH, WSH, TOT, WSH, CHW, CHW, TOT, BAL, BOS, TOT, BOS, CIN, CLE",0,0,0,0,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","*98/H73, 9H/7, 98H3, 9/H, 983H, 983H/7, *983/H7, *9H/38, /9H8, *9H/3, *9/H83, 79H3, 79H, 39H/7, H7/93, /H79, H7/39, H7/39",1947-1956,"AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, AL, MLB, AL, NL, AL",1437,5144,4653,520,1220,220,48,113,708,22,19,419,490,1875,15,16,49,0.2537222222222222,0.3241230648638056,0.4029658284977434,0.7270888933615489,89,0.2621964324091984,839
