g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id,player,pos,lg,age,experience,tm,season,mpg,fg%,3p%,2p%,ft%,rpg,apg,spg%,bpg,tpg,pfpg,ppg,all-star selections,aba mvp,aba roy,dpoy,mip,nba mvp,nba roy,smoy,championships,finals_appearances,fmvp,hof
51,0.0,0.0,60,287,0.0,0.0,60,287,30,49,0.0,0.0,0.0,27,0.0,0.0,0.0,64,150,136,petey rosenberg,G,BAA,28.0,1,PHW,1947-1947,0.0,0.2090592334494773,0.0,0.2090592334494773,0.6122448979591837,0.0,0.5294117647058824,0.0,0.0,0.0,1.2549019607843137,2.9411764705882355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,no
79,0.0,0.0,134,503,0.0,0.0,134,503,79,102,0.0,0.0,0.0,22,0.0,0.0,0.0,130,347,137,pop goodwin,F-C,BAA,27.0,2,"PRO, PRO",1947-1948,0.0,0.2664015904572565,0.0,0.2664015904572565,0.7745098039215687,0.0,0.2784810126582278,0.0,0.0,0.0,1.6455696202531649,4.3924050632911396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
51,0.0,0.0,102,375,0.0,0.0,102,375,30,58,0.0,0.0,0.0,6,0.0,0.0,0.0,102,234,138,press maravich,G,BAA,31.0,1,PIT,1947-1947,0.0,0.272,0.0,0.272,0.5172413793103449,0.0,0.1176470588235294,0.0,0.0,0.0,2.0,4.588235294117647,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
162,0.0,0.0,363,1356,0.0,0.0,363,1356,269,362,0.0,0.0,0.0,95,0.0,0.0,0.0,344,995,139,ralph kaplowitz,G-F,BAA,28.0,2,"PHW, TOT, NYK, PHW",1947-1948,0.0,0.2676991150442478,0.0,0.2676991150442478,0.7430939226519337,0.0,0.5864197530864198,0.0,0.0,0.0,2.123456790123457,6.1419753086419755,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,no
42,0.0,0.0,12,88,0.0,0.0,12,88,16,30,0.0,0.0,0.0,8,0.0,0.0,0.0,36,40,140,ralph siewert,C,BAA,23.0,1,"TOT, STB, TRH",1947-1947,0.0,0.1363636363636363,0.0,0.1363636363636363,0.5333333333333333,0.0,0.1904761904761904,0.0,0.0,0.0,0.8571428571428571,0.9523809523809524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
129,0.0,0.0,171,804,0.0,0.0,171,804,118,196,0.0,0.0,0.0,84,0.0,0.0,0.0,177,460,141,ray wertis,G,BAA,24.0,2,"PRO, TOT, TRH, CLR",1947-1948,0.0,0.2126865671641791,0.0,0.2126865671641791,0.6020408163265306,0.0,0.6511627906976745,0.0,0.0,0.0,1.372093023255814,3.565891472868217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
10,0.0,0.0,6,15,0.0,0.0,6,15,2,6,0.0,0.0,0.0,0,0.0,0.0,0.0,8,14,142,red dehnert,F,BAA,23.0,1,PRO,1947-1947,0.0,0.4,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.8,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
7,0.0,0.0,3,9,0.0,0.0,3,9,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,6,143,red mihalik,G,BAA,30.0,1,PIT,1947-1947,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.8571428571428571,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
122,0.0,0.0,450,1618,0.0,0.0,450,1618,212,392,0.0,0.0,0.0,116,0.0,0.0,0.0,334,1112,144,red wallace,G,BAA,28.0,1,"TOT, BOS, TRH",1947-1947,0.0,0.2781211372064276,0.0,0.2781211372064276,0.5408163265306123,0.0,0.9508196721311476,0.0,0.0,0.0,2.737704918032787,9.114754098360656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
28,0.0,0.0,14,54,0.0,0.0,14,54,13,19,0.0,0.0,0.0,1,0.0,0.0,0.0,36,41,145,roger jorgensen,C-F,BAA,26.0,1,PIT,1947-1947,0.0,0.2592592592592592,0.0,0.2592592592592592,0.6842105263157895,0.0,0.0357142857142857,0.0,0.0,0.0,1.2857142857142858,1.4642857142857142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
46,0.0,0.0,100,447,0.0,0.0,100,447,39,64,0.0,0.0,0.0,34,0.0,0.0,0.0,85,239,146,roy hurley,F-G,BAA,24.0,1,TRH,1947-1947,0.0,0.2237136465324384,0.0,0.2237136465324384,0.609375,0.0,0.7391304347826086,0.0,0.0,0.0,1.8478260869565215,5.195652173913044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
334,0.0,0.0,1056,3580,0.0,0.0,1056,3580,729,920,0.0,0.0,260.0,641,0.0,0.0,0.0,680,2841,147,sonny hertzberg,G,NBA,28.0,5,"BOS, BOS, WSC, TOT, NYK, WSC, NYK",1947-1951,0.0,0.2949720670391061,0.0,0.2949720670391061,0.7923913043478261,0.7784431137724551,1.9191616766467063,0.0,0.0,0.0,2.035928143712575,8.505988023952096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,no
430,0.0,5342.0,1553,4654,0.0,0.0,1553,4654,1257,2000,0.0,0.0,1359.0,640,0.0,0.0,0.0,1587,4363,148,stan miasek,SF,NBA,29.0,6,"TOT, BLB, MLH, BLB, CHS, CHS, CHS, DTF",1947-1953,12.423255813953489,0.3336914482165878,0.0,0.3336914482165878,0.6285,3.16046511627907,1.4883720930232558,0.0,0.0,0.0,3.6906976744186046,10.146511627906976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
110,0.0,0.0,256,913,0.0,0.0,256,913,148,222,0.0,0.0,0.0,68,0.0,0.0,0.0,271,660,149,stan noszka,G,BAA,28.0,3,"BOS, BOS, PIT",1947-1949,0.0,0.28039430449069,0.0,0.28039430449069,0.6666666666666666,0.0,0.6181818181818182,0.0,0.0,0.0,2.463636363636364,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
166,0.0,0.0,402,1573,0.0,0.0,402,1573,377,464,0.0,0.0,0.0,188,0.0,0.0,0.0,397,1181,150,stan stutz,G-F,BAA,28.0,3,"BLB, NYK, NYK",1947-1949,0.0,0.2555626191989828,0.0,0.2555626191989828,0.8125,0.0,1.1325301204819278,0.0,0.0,0.0,2.391566265060241,7.114457831325301,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
13,0.0,0.0,6,29,0.0,0.0,6,29,5,12,0.0,0.0,0.0,4,0.0,0.0,0.0,9,17,151,tom callahan,G,BAA,25.0,1,PRO,1947-1947,0.0,0.2068965517241379,0.0,0.2068965517241379,0.4166666666666667,0.0,0.3076923076923077,0.0,0.0,0.0,0.6923076923076923,1.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
58,0.0,0.0,97,410,0.0,0.0,97,410,101,160,0.0,0.0,0.0,32,0.0,0.0,0.0,102,295,152,tom king,G,BAA,22.0,1,DTF,1947-1947,0.0,0.2365853658536585,0.0,0.2365853658536585,0.63125,0.0,0.5517241379310345,0.0,0.0,0.0,1.7586206896551724,5.086206896551724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
