W,L,G,GS,GF,CG,SHO,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,ROY,AS,GG,CY,name,Age,index,Tm,Awards,Lg,Year,W-L%,ERA,FIP,WHIP,H9,HR9,BB9,SO9,hof
0.0,0.0,6.0,0.0,4.0,0.0,0.0,9.0,22.0,17.0,16.0,0.0,13.0,0.0,5.0,1.0,0.0,3.0,0,0,0,0,Ace Williams,29,107111,"BSN, BSN","nan, nan","NL, NL",1940-1946,,16.0,5.67,3.667,21.0,0.0,12.0,5.0,no
29.0,22.0,97.0,53.0,32.0,28.0,2.0,492.5,503.0,222.0,160.0,11.0,151.0,0.0,212.0,15.0,2.0,3.0,0,0,0,0,Ad Brennan,30,11435,"PHI, PHI, PHI, PHI, TOT, WSH, CLE","nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, NL, AL, AL, AL",1910-1918,0.68875,3.462857142857142,4.111428571428571,1.6895714285714285,9.657142857142857,0.0857142857142857,5.528571428571429,2.3285714285714287,no
105.0,97.0,240.0,216.0,24.0,173.0,7.0,1816.0,2120.0,1234.0,874.0,66.0,583.0,0.0,484.0,74.0,0.0,35.0,0,0,0,0,Ad Gumbert,28,39005,"CHC, CHC, CHC, CHC, PIT, PIT, BRO, TOT, BRO, PHI","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, NL, NL, NL, NL",1888-1896,0.4772999999999999,4.265,4.137,1.479,10.43,0.3099999999999999,2.88,2.17,no
17.0,18.0,111.0,28.0,51.0,11.0,1.0,349.7,354.0,176.0,151.0,12.0,150.0,2.0,104.0,9.0,0.0,6.0,0,0,0,0,Ad Liska,26,57986,"WSH, WSH, WSH, PHI, PHI","nan, nan, nan, nan, nan","AL, AL, AL, NL, NL",1929-1933,0.5126,4.204,3.734,1.6158,11.16,0.22,3.4,2.94,no
0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,7.0,4.0,4.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,Ad Swigler,21,97320,NYG,,NL,1917-1917,0.0,6.0,4.93,2.5,10.5,0.0,12.0,6.0,no
6.0,13.0,130.0,25.0,13.0,0.0,0.0,211.8,223.0,131.0,122.0,26.0,116.0,4.0,186.0,7.0,2.0,11.0,0,0,0,0,Adalberto Mejia,26,66036,"MIN, MIN, MIN, TOT, TOT, MIN, LAA, STL, LAA","nan, nan, nan, nan, nan, nan, nan, nan, nan","AL, AL, AL, MLB, AL, AL, AL, NL, AL",2016-2019,0.2728,5.69,4.332222222222223,1.775777777777778,11.17777777777778,0.7555555555555556,4.811111111111111,7.233333333333332,no
1.0,3.0,5.0,5.0,0.0,0.0,0.0,24.2,28.0,14.0,14.0,7.0,12.0,0.0,11.0,2.0,0.0,0.0,0,0,0,0,Adalberto Mendez,28,66160,FLA,,NL,2010-2010,0.25,5.11,7.58,1.622,10.2,2.6,4.4,4.0,no
13.0,42.0,203.0,57.0,39.0,0.0,0.0,522.0,589.0,360.0,344.0,80.0,189.0,9.0,339.0,28.0,1.0,14.0,0,0,0,0,Adam Bernero,29,8128,"DET, DET, DET, TOT, DET, COL, COL, ATL, TOT, PHI, KCR","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","AL, AL, AL, MLB, AL, NL, NL, NL, MLB, NL, AL",2000-2006,0.3079,8.211818181818181,6.623636363636364,1.7280909090909091,12.172727272727274,2.4909090909090907,3.372727272727273,5.718181818181818,no
0.0,1.0,8.0,0.0,1.0,0.0,0.0,5.0,5.0,7.0,6.0,1.0,6.0,1.0,7.0,1.0,0.0,1.0,0,0,0,0,Adam Butler,24,14083,ATL,,NL,1998-1998,0.0,10.8,7.14,2.2,9.0,1.8,10.8,12.6,no
16.0,24.0,296.0,0.0,71.0,0.0,0.0,279.9,269.0,118.0,107.0,17.0,77.0,28.0,210.0,26.0,0.0,4.0,0,0,0,0,Adam Cimber,30,18492,"TOT, SDP, CLE, CLE, CLE, TOT, MIA, TOR","nan, nan, nan, nan, nan, nan, nan, nan","MLB, NL, AL, AL, AL, MLB, NL, AL",2018-2021,0.3934999999999999,3.0625,3.55625,1.17325,8.4,0.5375,2.175,6.0125,active
